word,frequency
watch,5267
Apple,4164

heart,1199 
rate,1340
ECG,1525
cardiology,1450
sensor,2182
Oxygen,1385
Cardio, 1668
Mobility, 1454
emergency,1524
monitoring,1678
healthcare,1565

battery,2276
great,2098
new,2070
very,1955
series,1906
life,1386
screen,1356
apple,1345
features,1329
use,1289
more,1229
good,1219
really,1210
best,988
easy,981
Love,957
product,901
better,844
Series,837
nice,827
band,804
phone,774
size,768
upgrade,766
first,713
time,710
color,706
Great,682
happy,673
recommend,672
wife,670
gift,666
buy,617
bigger,613
bought,607
Best,606
other,593
always,581
because,570
which,566
works,559
everything,556
every,548
they,546
well,541
how,536
need,531
She,531
even,508
m,498
charge,493
worth,484
Battery,484
far,481
Very,479
looks,464
last,461
track,455
7,453
using,447
display,444
without,443
big,437
any,435
My,435
mm,431
price,428
previous,428
too,427
larger,425
So,419
by,418
upgraded,414
smart,413
still,413
go,413
work,412
iPhone,409
its,406
purchase,406
lot,401
days,397
it’s,395
used,394
Nike,394
old,393
little,391
watches,390
getting,386
wrist,384
tracking,383
purchased,378
face,372
definitely,370
perfect,367
since,367
ever,366
over,366
quality,364
ve,360
comfortable,356
wear,354
longer,352
could,352
sleep,350
If,349
now,345
after,338
Buy,338
"watch,",337
thing,337
amazing,336
keep,335
don,335
there,334
3,333
looking,332
set,331
able,328
some,327
great.,327
features.,327
years,326
want,325
long,321
then,318
make,318
never,316
look,309
having,306
made,305
while,305
loved,301
way,297
makes,297
lasts,296
did,296
awesome,292
apps,291
daily,290
product.,286
use.,283
life.,279
before,277
compared,276
think,276
absolutely,276
charging,275
wish,275
few,271
feature,270
But,269
small,266
he,266
off,266
know,263
Christmas,262
things,260
Easy,260
say,259
Good,259
thought,255
I’m,255
bit,255
It’s,253
different,252
version,251
fast,250
take,244
daughter,243
see,242
who,241
pretty,239
wanted,238
large,236
Ultra,235
glad,231
right,230
watch!,230
design,229
fits,227
No,226
working,226
came,225
most,225
bands,220
older,219
feel,218
products,217
app,216
excellent,212
monitor,212
should,209
useful,209
went,208
being,208
2,207
functions,205
fit,204
And,203
Nice,200
same,200
going,200
seems,199
faces,198
must,197
text,196
You,195
super,194
blood,193
calls,190
comes,189
back,188
day.,188
don’t,186
easier,185
needed,185
Would,185
service,184
into,184
me.,183
another,183
Fitbit,183
model,181
A,180
-,179
we,177
feels,176
charger,176
almost,175
one.,175
wearing,174
around,173
enjoy,173
full,173
cool,173
box,172
come,171
it!,170
Works,170
liked,169
options,168
change,168
hours,168
them,168
buying,166
I’ve,166
helpful,166
charges,166
especially,165
upgrade.,165
sure,165
faster,165
decided,164
help,164
charged,164
Garmin,163
5,162
extra,162
good.,160
needs,160
screen.,160
difference,160
their,159
everyday,159
highly,159
4,158
finally,157
They,157
Also,157
well.,157
money,156
activity,155
two,152
purchase.,152
SE,151
actually,151
6,148
time.,148
check,148
birthday,148
took,147
"it,",147
read,147
Just,146
give,146
wrist.,146
pleased,146
keeps,146
exercise,145
order,144
several,144
phone.,144
though,143
messages,143
didn,143
issues,141
people,140
open,140
were,139
put,139
Only,139
enjoying,138
find,138
loving,138
workout,137
Really,134
replace,134
through,133
item,133
something,133
answer,133
functionality,133
case,132
Upgraded,131
Not,131
beautiful,131
wait,130
smaller,129
second,129
I'm,129
helps,129
plus,128
gift.,128
doesn,128
his,127
anything,127
huge,127
said,127
Bought,127
Excellent,126
person,125
myself,125
&,124
green,124
color.,124
",",123
8,123
yet,123
call,123
overall,123
down,121
durable,121
better.,121
user,120
price.,119
probably,119
device,119
during,119
far.,118
wife.,117
GPS,117
easily,117
less,117
top,116
